,win,lose,probability,WTeam,LTeam,WLoc,Correct,Incorrect
40,Brooklyn Nets,Philadelphia 76ers,0.5473219405354467,Philadelphia 76ers,Brooklyn Nets,H,0,1
41,Memphis Grizzlies,Detroit Pistons,0.8237951802539305,Memphis Grizzlies,Detroit Pistons,H,1,0
42,Utah Jazz,New Orleans Pelicans,0.6950412525451022,Utah Jazz,New Orleans Pelicans,H,1,0
43,Portland Trail Blazers,Sacramento Kings,0.699695255693555,Sacramento Kings,Portland Trail Blazers,V,0,1
44,Los Angeles Clippers,Minnesota Timberwolves,0.8632751091964013,Minnesota Timberwolves,Los Angeles Clippers,V,0,1
45,Washington Wizards,Toronto Raptors,0.6076278826329601,Toronto Raptors,Washington Wizards,V,0,1
46,Los Angeles Lakers,Golden State Warriors,0.5858472627730951,Golden State Warriors,Los Angeles Lakers,V,0,1
47,Phoenix Suns,Portland Trail Blazers,0.5988024817120713,Phoenix Suns,Portland Trail Blazers,H,1,0
48,Dallas Mavericks,Charlotte Hornets,0.7765605753093626,Dallas Mavericks,Charlotte Hornets,V,1,0
49,Boston Celtics,Orlando Magic,0.7769979362503484,Orlando Magic,Boston Celtics,H,0,1
50,Memphis Grizzlies,Indiana Pacers,0.6487347735726099,Indiana Pacers,Memphis Grizzlies,H,0,1
51,New York Knicks,Detroit Pistons,0.8397095763071443,New York Knicks,Detroit Pistons,H,1,0
52,Denver Nuggets,Oklahoma City Thunder,0.8496883838480948,Oklahoma City Thunder,Denver Nuggets,H,0,1
53,Milwaukee Bucks,Utah Jazz,0.5804598547404556,Utah Jazz,Milwaukee Bucks,H,0,1
54,Atlanta Hawks,Miami Heat,0.5542681560301487,Atlanta Hawks,Miami Heat,H,1,0
55,Brooklyn Nets,Minnesota Timberwolves,0.864093793404744,Brooklyn Nets,Minnesota Timberwolves,H,1,0
56,Denver Nuggets,Oklahoma City Thunder,0.8496883838480948,Denver Nuggets,Oklahoma City Thunder,V,1,0
57,Los Angeles Lakers,Sacramento Kings,0.7017261536088691,Sacramento Kings,Los Angeles Lakers,H,0,1
58,Miami Heat,Boston Celtics,0.5171694592303715,Miami Heat,Boston Celtics,H,1,0
59,Indiana Pacers,Cleveland Cavaliers,0.6752479552834671,Cleveland Cavaliers,Indiana Pacers,V,0,1
60,Philadelphia 76ers,Detroit Pistons,0.8699600518094223,Detroit Pistons,Philadelphia 76ers,H,0,1
61,New York Knicks,Washington Wizards,0.6330515116782077,New York Knicks,Washington Wizards,H,1,0
62,Dallas Mavericks,Milwaukee Bucks,0.5169322748254689,Dallas Mavericks,Milwaukee Bucks,V,1,0
63,Memphis Grizzlies,Chicago Bulls,0.642014072802889,Chicago Bulls,Memphis Grizzlies,H,0,1
64,San Antonio Spurs,Houston Rockets,0.7145950354260631,San Antonio Spurs,Houston Rockets,H,1,0
65,Portland Trail Blazers,Golden State Warriors,0.5757930773959624,Golden State Warriors,Portland Trail Blazers,H,0,1
66,Brooklyn Nets,Milwaukee Bucks,0.527409491568058,Milwaukee Bucks,Brooklyn Nets,H,0,1
67,Los Angeles Lakers,Golden State Warriors,0.5858472627730951,Golden State Warriors,Los Angeles Lakers,V,0,1
68,Chicago Bulls,Detroit Pistons,0.6347454711954061,Chicago Bulls,Detroit Pistons,V,1,0
69,Charlotte Hornets,Indiana Pacers,0.5069027708423968,Charlotte Hornets,Indiana Pacers,H,1,0
70,Washington Wizards,Toronto Raptors,0.5404823173415543,Washington Wizards,Toronto Raptors,V,1,0
71,New York Knicks,Boston Celtics,0.5320905315094407,New York Knicks,Boston Celtics,H,1,0
72,Philadelphia 76ers,New Orleans Pelicans,0.7727291625242716,Philadelphia 76ers,New Orleans Pelicans,V,1,0
73,Minnesota Timberwolves,Houston Rockets,0.6159665524402533,Minnesota Timberwolves,Houston Rockets,H,1,0
74,Memphis Grizzlies,Cleveland Cavaliers,0.7759020997558035,Memphis Grizzlies,Cleveland Cavaliers,H,1,0
75,San Antonio Spurs,Orlando Magic,0.6660887453294406,San Antonio Spurs,Orlando Magic,H,1,0
76,Utah Jazz,Oklahoma City Thunder,0.8905311066544591,Utah Jazz,Oklahoma City Thunder,H,1,0
77,Portland Trail Blazers,Sacramento Kings,0.699695255693555,Sacramento Kings,Portland Trail Blazers,V,0,1
78,Denver Nuggets,Phoenix Suns,0.5020926708910297,Denver Nuggets,Phoenix Suns,V,1,0
79,Dallas Mavericks,Atlanta Hawks,0.5914465229787516,Atlanta Hawks,Dallas Mavericks,H,0,1
80,Milwaukee Bucks,Miami Heat,0.6813488978511629,Miami Heat,Milwaukee Bucks,H,0,1
81,Los Angeles Clippers,Golden State Warriors,0.6761815176853497,Golden State Warriors,Los Angeles Clippers,H,0,1
82,Washington Wizards,Indiana Pacers,0.6031579757861191,Washington Wizards,Indiana Pacers,H,1,0
83,New York Knicks,Orlando Magic,0.8155137508917046,New York Knicks,Orlando Magic,V,1,0
84,Charlotte Hornets,Cleveland Cavaliers,0.6195400176553773,Charlotte Hornets,Cleveland Cavaliers,V,1,0
85,Brooklyn Nets,Philadelphia 76ers,0.5473219405354467,Brooklyn Nets,Philadelphia 76ers,V,1,0
86,Boston Celtics,Toronto Raptors,0.6694720580984486,Toronto Raptors,Boston Celtics,V,0,1
87,Houston Rockets,Oklahoma City Thunder,0.5540568341654994,Houston Rockets,Oklahoma City Thunder,H,1,0
88,New Orleans Pelicans,Chicago Bulls,0.5364455076004001,Chicago Bulls,New Orleans Pelicans,H,0,1
89,Denver Nuggets,San Antonio Spurs,0.7206776378101996,Denver Nuggets,San Antonio Spurs,H,1,0
90,Utah Jazz,Sacramento Kings,0.8303912209893277,Utah Jazz,Sacramento Kings,V,1,0
91,Phoenix Suns,Los Angeles Lakers,0.6770000102012815,Phoenix Suns,Los Angeles Lakers,V,1,0
92,Atlanta Hawks,Cleveland Cavaliers,0.8198508804759544,Cleveland Cavaliers,Atlanta Hawks,H,0,1
93,Miami Heat,Indiana Pacers,0.6230793190341067,Indiana Pacers,Miami Heat,H,0,1
94,Dallas Mavericks,Toronto Raptors,0.7639419710990988,Dallas Mavericks,Toronto Raptors,V,1,0
95,New Orleans Pelicans,Minnesota Timberwolves,0.6723724524200377,Minnesota Timberwolves,New Orleans Pelicans,H,0,1
96,Chicago Bulls,Detroit Pistons,0.7430182207920084,Chicago Bulls,Detroit Pistons,H,1,0
97,Milwaukee Bucks,San Antonio Spurs,0.8056591550285729,Milwaukee Bucks,San Antonio Spurs,V,1,0
98,Phoenix Suns,Portland Trail Blazers,0.6982552104839789,Portland Trail Blazers,Phoenix Suns,H,0,1
99,Los Angeles Clippers,Memphis Grizzlies,0.5839697022730577,Memphis Grizzlies,Los Angeles Clippers,V,0,1
100,Brooklyn Nets,Charlotte Hornets,0.7484281544325742,Charlotte Hornets,Brooklyn Nets,V,0,1
101,Philadelphia 76ers,Oklahoma City Thunder,0.8740410612084328,Philadelphia 76ers,Oklahoma City Thunder,V,1,0
102,New York Knicks,Orlando Magic,0.8041522609686141,Orlando Magic,New York Knicks,V,0,1
103,Boston Celtics,Houston Rockets,0.7981997759543568,Boston Celtics,Houston Rockets,V,1,0
104,Golden State Warriors,Sacramento Kings,0.6014360155209577,Golden State Warriors,Sacramento Kings,V,1,0
105,Los Angeles Lakers,Memphis Grizzlies,0.5394069991488284,Los Angeles Lakers,Memphis Grizzlies,H,1,0
106,Milwaukee Bucks,Indiana Pacers,0.7898236908650847,Milwaukee Bucks,Indiana Pacers,V,1,0
107,Boston Celtics,Charlotte Hornets,0.6570997246273748,Boston Celtics,Charlotte Hornets,V,1,0
108,Toronto Raptors,Chicago Bulls,0.5014894749503758,Chicago Bulls,Toronto Raptors,V,0,1
109,Miami Heat,Orlando Magic,0.7945571711565165,Miami Heat,Orlando Magic,H,1,0
110,Brooklyn Nets,Washington Wizards,0.7070580299012139,Brooklyn Nets,Washington Wizards,H,1,0
111,Atlanta Hawks,Detroit Pistons,0.852320680144317,Atlanta Hawks,Detroit Pistons,H,1,0
112,New Orleans Pelicans,Minnesota Timberwolves,0.6723724524200377,New Orleans Pelicans,Minnesota Timberwolves,V,1,0
113,Denver Nuggets,Cleveland Cavaliers,0.8279626588019204,Cleveland Cavaliers,Denver Nuggets,V,0,1
114,Los Angeles Clippers,Portland Trail Blazers,0.576473159815867,Los Angeles Clippers,Portland Trail Blazers,H,1,0
115,Philadelphia 76ers,New York Knicks,0.6534872093284517,New York Knicks,Philadelphia 76ers,H,0,1
116,Golden State Warriors,Oklahoma City Thunder,0.7509457436987821,Golden State Warriors,Oklahoma City Thunder,V,1,0
117,Los Angeles Lakers,San Antonio Spurs,0.7244965899118407,Los Angeles Lakers,San Antonio Spurs,V,1,0
118,Dallas Mavericks,Houston Rockets,0.8566309477421452,Dallas Mavericks,Houston Rockets,H,1,0
119,Denver Nuggets,Utah Jazz,0.5134738868923013,Utah Jazz,Denver Nuggets,H,0,1
120,Charlotte Hornets,Orlando Magic,0.6507543703696491,Charlotte Hornets,Orlando Magic,V,1,0
121,Toronto Raptors,Indiana Pacers,0.5247130884153883,Toronto Raptors,Indiana Pacers,H,1,0
122,Atlanta Hawks,New Orleans Pelicans,0.7032214232814814,Atlanta Hawks,New Orleans Pelicans,V,1,0
123,Brooklyn Nets,Miami Heat,0.612275679999298,Miami Heat,Brooklyn Nets,V,0,1
124,Boston Celtics,Washington Wizards,0.60488694629103,Washington Wizards,Boston Celtics,V,0,1
125,Los Angeles Lakers,Oklahoma City Thunder,0.8245873309062933,Oklahoma City Thunder,Los Angeles Lakers,H,0,1
126,Milwaukee Bucks,Minnesota Timberwolves,0.8713505151468554,Minnesota Timberwolves,Milwaukee Bucks,V,0,1
127,Portland Trail Blazers,Memphis Grizzlies,0.5147386080727063,Portland Trail Blazers,Memphis Grizzlies,H,1,0
128,Phoenix Suns,Sacramento Kings,0.7717347633562194,Sacramento Kings,Phoenix Suns,V,0,1
129,Los Angeles Clippers,Cleveland Cavaliers,0.8435115541223085,Cleveland Cavaliers,Los Angeles Clippers,V,0,1
130,Atlanta Hawks,Washington Wizards,0.6595320188445708,Washington Wizards,Atlanta Hawks,H,0,1
131,Philadelphia 76ers,Detroit Pistons,0.8781476963359552,Philadelphia 76ers,Detroit Pistons,H,1,0
132,Utah Jazz,Houston Rockets,0.9228321420693764,Utah Jazz,Houston Rockets,V,1,0
133,New York Knicks,Chicago Bulls,0.6690300210782767,New York Knicks,Chicago Bulls,V,1,0
134,Dallas Mavericks,San Antonio Spurs,0.7068597052625831,Dallas Mavericks,San Antonio Spurs,H,1,0
135,Memphis Grizzlies,Golden State Warriors,0.5682581276314866,Memphis Grizzlies,Golden State Warriors,V,1,0
136,Toronto Raptors,Orlando Magic,0.6692591687221457,Toronto Raptors,Orlando Magic,H,1,0
137,Miami Heat,Charlotte Hornets,0.666990490765762,Miami Heat,Charlotte Hornets,H,1,0
138,Brooklyn Nets,Indiana Pacers,0.7581118808398555,Brooklyn Nets,Indiana Pacers,H,1,0
139,New Orleans Pelicans,Sacramento Kings,0.5517464250749449,Sacramento Kings,New Orleans Pelicans,V,0,1
140,Los Angeles Clippers,Portland Trail Blazers,0.5993023433729081,Portland Trail Blazers,Los Angeles Clippers,H,0,1
141,Dallas Mavericks,Denver Nuggets,0.5624915530646729,Denver Nuggets,Dallas Mavericks,H,0,1
142,Los Angeles Lakers,Cleveland Cavaliers,0.8180893610826573,Los Angeles Lakers,Cleveland Cavaliers,H,1,0
143,Boston Celtics,Washington Wizards,0.5644809509744557,Washington Wizards,Boston Celtics,H,0,1
144,New York Knicks,New Orleans Pelicans,0.6679285025418965,New York Knicks,New Orleans Pelicans,V,1,0
145,Detroit Pistons,Orlando Magic,0.5364971577702187,Detroit Pistons,Orlando Magic,H,1,0
146,Philadelphia 76ers,Atlanta Hawks,0.5114064760497785,Philadelphia 76ers,Atlanta Hawks,H,1,0
147,Indiana Pacers,Toronto Raptors,0.5502150619890895,Toronto Raptors,Indiana Pacers,V,0,1
148,Denver Nuggets,Minnesota Timberwolves,0.8315480138599776,Denver Nuggets,Minnesota Timberwolves,V,1,0
149,Milwaukee Bucks,San Antonio Spurs,0.7560880419635915,San Antonio Spurs,Milwaukee Bucks,V,0,1
150,Memphis Grizzlies,Miami Heat,0.5018215593787625,Miami Heat,Memphis Grizzlies,V,0,1
151,Utah Jazz,Chicago Bulls,0.8280967555616512,Chicago Bulls,Utah Jazz,H,0,1
152,Golden State Warriors,Oklahoma City Thunder,0.8077895264903527,Golden State Warriors,Oklahoma City Thunder,H,1,0
153,Phoenix Suns,Cleveland Cavaliers,0.8552960153271467,Phoenix Suns,Cleveland Cavaliers,H,1,0
154,Dallas Mavericks,Sacramento Kings,0.7201059451349162,Dallas Mavericks,Sacramento Kings,H,1,0
155,Utah Jazz,Milwaukee Bucks,0.6407913495303887,Utah Jazz,Milwaukee Bucks,V,1,0
156,Portland Trail Blazers,Charlotte Hornets,0.6898626434681937,Charlotte Hornets,Portland Trail Blazers,H,0,1
157,Brooklyn Nets,Detroit Pistons,0.8799415377808183,Brooklyn Nets,Detroit Pistons,H,1,0
158,Los Angeles Lakers,Houston Rockets,0.8566117882596043,Los Angeles Lakers,Houston Rockets,H,1,0
159,Philadelphia 76ers,Portland Trail Blazers,0.5740498848773162,Philadelphia 76ers,Portland Trail Blazers,H,1,0
160,Indiana Pacers,San Antonio Spurs,0.5271200844417078,Indiana Pacers,San Antonio Spurs,H,1,0
161,Charlotte Hornets,Cleveland Cavaliers,0.640331284859244,Cleveland Cavaliers,Charlotte Hornets,V,0,1
162,New York Knicks,Toronto Raptors,0.6953515182278642,Toronto Raptors,New York Knicks,V,0,1
163,Boston Celtics,Chicago Bulls,0.6443080846594851,Chicago Bulls,Boston Celtics,V,0,1
164,Atlanta Hawks,Washington Wizards,0.6552463619711995,Atlanta Hawks,Washington Wizards,H,1,0
165,Minnesota Timberwolves,Orlando Magic,0.5609956362869689,Orlando Magic,Minnesota Timberwolves,V,0,1
166,Denver Nuggets,Memphis Grizzlies,0.6325529826628525,Memphis Grizzlies,Denver Nuggets,H,0,1
167,Los Angeles Clippers,Oklahoma City Thunder,0.8859020838616126,Los Angeles Clippers,Oklahoma City Thunder,H,1,0
168,Milwaukee Bucks,Detroit Pistons,0.8772181098340257,Milwaukee Bucks,Detroit Pistons,V,1,0
169,Dallas Mavericks,Miami Heat,0.5668363228690783,Miami Heat,Dallas Mavericks,V,0,1
170,Utah Jazz,Sacramento Kings,0.7636137144702717,Utah Jazz,Sacramento Kings,H,1,0
171,Phoenix Suns,New Orleans Pelicans,0.7046067973062855,Phoenix Suns,New Orleans Pelicans,H,1,0
172,Los Angeles Lakers,Houston Rockets,0.8566117882596043,Los Angeles Lakers,Houston Rockets,H,1,0
173,Washington Wizards,Toronto Raptors,0.6076278826329601,Toronto Raptors,Washington Wizards,V,0,1
174,Philadelphia 76ers,Chicago Bulls,0.7374020427135742,Philadelphia 76ers,Chicago Bulls,H,1,0
175,Boston Celtics,Orlando Magic,0.7769979362503484,Boston Celtics,Orlando Magic,V,1,0
176,New York Knicks,Indiana Pacers,0.675499887446951,Indiana Pacers,New York Knicks,H,0,1
177,Portland Trail Blazers,Cleveland Cavaliers,0.7794694533525436,Cleveland Cavaliers,Portland Trail Blazers,H,0,1
178,Brooklyn Nets,Atlanta Hawks,0.5156212570158816,Brooklyn Nets,Atlanta Hawks,H,1,0
179,Los Angeles Clippers,Minnesota Timberwolves,0.8345938265523415,Los Angeles Clippers,Minnesota Timberwolves,V,1,0
180,Denver Nuggets,Memphis Grizzlies,0.6325529826628525,Memphis Grizzlies,Denver Nuggets,H,0,1
181,Dallas Mavericks,San Antonio Spurs,0.7665089831176408,Dallas Mavericks,San Antonio Spurs,V,1,0
182,New Orleans Pelicans,Sacramento Kings,0.5404725773658859,Sacramento Kings,New Orleans Pelicans,H,0,1
183,Golden State Warriors,Charlotte Hornets,0.6152545154640059,Golden State Warriors,Charlotte Hornets,H,1,0
184,Philadelphia 76ers,Detroit Pistons,0.8699600518094223,Philadelphia 76ers,Detroit Pistons,V,1,0
185,Miami Heat,Boston Celtics,0.5171694592303715,Boston Celtics,Miami Heat,V,0,1
186,Utah Jazz,Atlanta Hawks,0.7070281440716006,Utah Jazz,Atlanta Hawks,V,1,0
187,Phoenix Suns,Houston Rockets,0.8870273998944216,Phoenix Suns,Houston Rockets,H,1,0
188,Los Angeles Lakers,Oklahoma City Thunder,0.8662746594780807,Oklahoma City Thunder,Los Angeles Lakers,V,0,1
189,Memphis Grizzlies,Washington Wizards,0.5933110305495548,Washington Wizards,Memphis Grizzlies,H,0,1
190,San Antonio Spurs,Orlando Magic,0.6557675751363673,San Antonio Spurs,Orlando Magic,V,1,0
191,Brooklyn Nets,Detroit Pistons,0.8550777126872162,Brooklyn Nets,Detroit Pistons,V,1,0
192,Toronto Raptors,Cleveland Cavaliers,0.6565872328493906,Cleveland Cavaliers,Toronto Raptors,V,0,1
193,Milwaukee Bucks,New York Knicks,0.5718973411781236,New York Knicks,Milwaukee Bucks,V,0,1
194,Los Angeles Clippers,Minnesota Timberwolves,0.8345938265523415,Los Angeles Clippers,Minnesota Timberwolves,V,1,0
195,Sacramento Kings,Charlotte Hornets,0.5359083438205481,Sacramento Kings,Charlotte Hornets,H,1,0
196,Portland Trail Blazers,Indiana Pacers,0.7016740834066432,Portland Trail Blazers,Indiana Pacers,H,1,0
197,Golden State Warriors,New Orleans Pelicans,0.5407413805868214,Golden State Warriors,New Orleans Pelicans,H,1,0
198,Denver Nuggets,Houston Rockets,0.8647399503418988,Denver Nuggets,Houston Rockets,H,1,0
199,Utah Jazz,Miami Heat,0.7384018789037448,Miami Heat,Utah Jazz,H,0,1
200,Philadelphia 76ers,Chicago Bulls,0.7736008790314042,Philadelphia 76ers,Chicago Bulls,V,1,0
201,Dallas Mavericks,Boston Celtics,0.5686667424933314,Dallas Mavericks,Boston Celtics,H,1,0
202,Phoenix Suns,Atlanta Hawks,0.5368624164082709,Phoenix Suns,Atlanta Hawks,H,1,0
203,Los Angeles Lakers,Portland Trail Blazers,0.5489028937048741,Portland Trail Blazers,Los Angeles Lakers,H,0,1
204,Brooklyn Nets,Toronto Raptors,0.7714306573431476,Brooklyn Nets,Toronto Raptors,V,1,0
205,Milwaukee Bucks,Washington Wizards,0.7480144739247864,Washington Wizards,Milwaukee Bucks,H,0,1
206,Sacramento Kings,Indiana Pacers,0.5488412972841,Indiana Pacers,Sacramento Kings,V,0,1
207,Utah Jazz,Orlando Magic,0.91330235797796,Orlando Magic,Utah Jazz,H,0,1
208,New York Knicks,Cleveland Cavaliers,0.7950660153698978,Cleveland Cavaliers,New York Knicks,V,0,1
209,San Antonio Spurs,Oklahoma City Thunder,0.6388697749985646,Oklahoma City Thunder,San Antonio Spurs,H,0,1
210,Golden State Warriors,Houston Rockets,0.7949011385446404,Golden State Warriors,Houston Rockets,H,1,0
211,Los Angeles Clippers,Charlotte Hornets,0.7471166240994005,Los Angeles Clippers,Charlotte Hornets,H,1,0
212,Philadelphia 76ers,New York Knicks,0.5521814230644609,New York Knicks,Philadelphia 76ers,V,0,1
213,Memphis Grizzlies,Minnesota Timberwolves,0.802202062498417,Memphis Grizzlies,Minnesota Timberwolves,H,1,0
214,Brooklyn Nets,Chicago Bulls,0.7508490561902699,Chicago Bulls,Brooklyn Nets,H,0,1
215,Dallas Mavericks,New Orleans Pelicans,0.6447834901838365,Dallas Mavericks,New Orleans Pelicans,H,1,0
216,Denver Nuggets,Miami Heat,0.583364248241377,Denver Nuggets,Miami Heat,H,1,0
217,Phoenix Suns,Sacramento Kings,0.8173201002521026,Phoenix Suns,Sacramento Kings,V,1,0
218,Atlanta Hawks,Golden State Warriors,0.6360561466978303,Golden State Warriors,Atlanta Hawks,H,0,1
219,Los Angeles Lakers,Charlotte Hornets,0.7113926595314974,Los Angeles Lakers,Charlotte Hornets,H,1,0
220,Milwaukee Bucks,Philadelphia 76ers,0.5941642853539509,Milwaukee Bucks,Philadelphia 76ers,V,1,0
221,Utah Jazz,Atlanta Hawks,0.5255227526287882,Utah Jazz,Atlanta Hawks,H,1,0
222,Los Angeles Clippers,Portland Trail Blazers,0.576473159815867,Los Angeles Clippers,Portland Trail Blazers,H,1,0
223,Brooklyn Nets,Orlando Magic,0.868251637771514,Brooklyn Nets,Orlando Magic,V,1,0
224,Washington Wizards,Cleveland Cavaliers,0.6674567538900524,Washington Wizards,Cleveland Cavaliers,V,1,0
225,Milwaukee Bucks,New York Knicks,0.6682196455253911,Milwaukee Bucks,New York Knicks,V,1,0
226,Houston Rockets,Detroit Pistons,0.5380386740217766,Detroit Pistons,Houston Rockets,V,0,1
227,Boston Celtics,Toronto Raptors,0.6694720580984486,Boston Celtics,Toronto Raptors,H,1,0
228,New Orleans Pelicans,Oklahoma City Thunder,0.7560809981125222,Oklahoma City Thunder,New Orleans Pelicans,V,0,1
229,Memphis Grizzlies,Charlotte Hornets,0.6548992037442891,Charlotte Hornets,Memphis Grizzlies,V,0,1
230,Dallas Mavericks,Chicago Bulls,0.7429107749909475,Chicago Bulls,Dallas Mavericks,H,0,1
231,San Antonio Spurs,Sacramento Kings,0.5187933890127949,San Antonio Spurs,Sacramento Kings,H,1,0
232,Phoenix Suns,Portland Trail Blazers,0.5988024817120713,Phoenix Suns,Portland Trail Blazers,H,1,0
233,Denver Nuggets,Indiana Pacers,0.7353750375762389,Denver Nuggets,Indiana Pacers,H,1,0
234,Los Angeles Lakers,Miami Heat,0.5667980205851606,Los Angeles Lakers,Miami Heat,H,1,0
235,Golden State Warriors,Minnesota Timberwolves,0.7736301455312972,Golden State Warriors,Minnesota Timberwolves,H,1,0
236,Philadelphia 76ers,Toronto Raptors,0.7584490585886242,Toronto Raptors,Philadelphia 76ers,V,0,1
237,Utah Jazz,Indiana Pacers,0.765312628923038,Indiana Pacers,Utah Jazz,V,0,1
238,Los Angeles Clippers,Miami Heat,0.6106236248171897,Los Angeles Clippers,Miami Heat,H,1,0
239,New York Knicks,Charlotte Hornets,0.7085563301821273,Charlotte Hornets,New York Knicks,H,0,1
240,Cleveland Cavaliers,Detroit Pistons,0.6020547057429679,Cleveland Cavaliers,Detroit Pistons,H,1,0
241,Milwaukee Bucks,Boston Celtics,0.6941523673572902,Boston Celtics,Milwaukee Bucks,H,0,1
242,Sacramento Kings,Oklahoma City Thunder,0.6237875214558201,Oklahoma City Thunder,Sacramento Kings,H,0,1
243,Brooklyn Nets,New Orleans Pelicans,0.749918056410373,Brooklyn Nets,New Orleans Pelicans,V,1,0
244,Phoenix Suns,Memphis Grizzlies,0.7313596142221809,Phoenix Suns,Memphis Grizzlies,V,1,0
245,Portland Trail Blazers,Houston Rockets,0.8211505075281833,Portland Trail Blazers,Houston Rockets,V,1,0
246,Dallas Mavericks,San Antonio Spurs,0.7665089831176408,Dallas Mavericks,San Antonio Spurs,V,1,0
247,Atlanta Hawks,Denver Nuggets,0.5144417983639141,Denver Nuggets,Atlanta Hawks,H,0,1
248,Golden State Warriors,Chicago Bulls,0.6055364496592466,Golden State Warriors,Chicago Bulls,H,1,0
249,Los Angeles Lakers,Minnesota Timberwolves,0.8404563135552087,Minnesota Timberwolves,Los Angeles Lakers,V,0,1
250,Utah Jazz,Miami Heat,0.6216511705102761,Miami Heat,Utah Jazz,V,0,1
